cardId,issuer,cardName,generator_ready,primary_status,recoverable_benefit
"2346","BC 바로카드","BC 바로 클리어 플러스","true","READY","대중교통"
"2778","IBK기업은행","IBK포인트3.8(신용)","true","READY","국내외가맹점"
"2482","IBK기업은행","I-ALL","true","READY","모든가맹점"
"1490","IBK기업은행","IBK 무직타이거 카드(체크)","true","READY","대중교통"
"2817","iM뱅크","iM K-패스 체크카드","true","READY","교통"
"106","KB국민카드","굿데이카드","true","READY","교통"
"2685","KB국민카드","WE:SH Travel","true","READY","교통"
"769","KB국민카드","KB ALL point 카드","true","READY","교통"
"2852","KB국민카드","KB 틴업 체크카드","true","READY","편의점"
"2604","KB국민카드","토심이 첵첵 체크카드","true","READY","대중교통"
"348","KB국민카드","노리체크카드","true","READY","대중교통"
"350","KB국민카드","직장인보너스체크카드","true","READY","정비"
"335","KB국민카드","청춘대로 싱글 체크카드","true","READY","편의점"
"454","KB국민카드","가온 올포인트 체크카드","true","READY","카페/디저트"
"351","KB국민카드","스타체크카드","true","READY","대중교통"
"2321","KG 파이낸셜","모빌카드","true","READY","편의점"
"2464","NH농협카드","zgm.휴가중카드","true","READY","국내가맹점"
"360","NH농협카드","올바른POINT체크카드","true","READY","모든가맹점"
"528","NH농협카드","라이언 치즈 체크카드","true","READY","편의점"
"2987","롯데카드","LOCA LIKIT 2.0","true","READY","국내가맹점"
"2330","롯데카드","LOCA 365 카드","true","READY","대중교통"
"2975","롯데카드","LOCA LIKIT 1.5","true","READY","국내가맹점"
"2986","삼성카드","삼성 iD SELECT UP 카드","true","READY","국내가맹점"
"2563","삼성카드","K-패스 삼성체크카드","true","READY","대중교통"
"39","신한카드","신한카드 Deep Oil","true","READY","편의점"
"2690","신한카드","K-패스 신한카드","true","READY","대중교통"
"2386","신한카드","티머니 Pay & GO 신한카드","true","READY","대중교통"
"2735","신한카드","신한카드 Edu Plan+","true","READY","학원"
"2693","신한카드","K-패스 신한카드 체크","true","READY","대중교통"
"281","신한카드","신한카드 Deep Dream 체크","true","READY","택시"
"286","신한카드","카카오페이 신한 체크카드","true","READY","대중교통"
"2847","신한카드","신한카드 SOL트래블 J체크","true","READY","대중교통"
"618","신한카드","신한카드 Hey Young 체크","true","READY","대중교통"
"646","신한카드","신한카드 Deep Dream 체크(미니언즈)","true","READY","택시"
"474","신한카드","카카오페이 신한 체크카드(무지)","true","READY","교통"
"2570","우리카드","카드의정석 오하CHECK","true","READY","대중교통"
"2552","우리카드","카드의정석 EVERY CHECK","true","READY","무실적"
"2871","우체국","우체국 LUCK-KEY 체크카드","true","READY","편의점"
"2269","토스뱅크","토스뱅크 체크카드","true","READY","어디서나 캐시백"
"2657","하나카드","JADE Classic","true","READY","택시"
"2820","하나카드","원더카드 2.0 FREE+","true","READY","국내외가맹점"
"2703","하나카드","JADE Prime","true","READY","택시"
"2927","BC 바로카드","BC 바로 Air Max 카드","false","TARGET_NOT_MAPPED","대한항공"
"2559","IBK기업은행","K-패스 (신용)","false","DAILY_USAGE_LIMIT_UNSUPPORTED","대중교통"
"2779","IBK기업은행","IBK포인트(신용)","false","TARGET_NOT_MAPPED","적립"
"2674","IBK기업은행","I-Mileage (대한항공)","false","MERCHANT_NOT_MAPPED","대한항공"
"2958","IBK기업은행","BLISS Mileage","false","DIRECT_OFFLINE_REVIEW_REQUIRED","바우처"
"2941","IBK기업은행","IBK나라사랑카드","false","TARGET_NOT_MAPPED","할인"
"2562","IBK기업은행","K-패스(체크)","false","MERCHANT_NOT_MAPPED","카페"
"2866","IBK기업은행","I-Travel(체크)","false","TARGET_NOT_MAPPED","대한항공"
"2441","KB국민카드","KB국민 My WE:SH 카드","false","TARGET_NOT_MAPPED","기타"
"2964","KB국민카드","KB NEED Pay 카드","false","TARGET_NOT_MAPPED","해외"
"2930","KB국민카드","KB YOU Prime 카드","false","DIRECT_OFFLINE_REVIEW_REQUIRED","기타"
"2970","KB국민카드","KB YOU Wish 카드","false","TARGET_NOT_MAPPED","기타"
"2609","KB국민카드","쿠팡 와우카드","false","NON_RULE_DETAIL","유의사항"
"2451","KB국민카드","HERITAGE Smart [대한항공 마일리지형]","false","TARGET_NOT_MAPPED","바우처"
"2929","KB국민카드","KB Youth Club 체크카드","false","MERCHANT_NOT_MAPPED","혜택 프로모션"
"2691","KB국민카드","트래블러스 체크카드(토심이)","false","TARGET_NOT_MAPPED","해외"
"2422","KB국민카드","노리2 체크카드(KB Pay)","false","TARGET_NOT_MAPPED","공연/전시"
"2423","KB국민카드","노리2 체크카드(Global)","false","TARGET_NOT_MAPPED","공연/전시"
"2905","KB국민카드","트래블러스 체크카드","false","TARGET_NOT_MAPPED","해외"
"2556","KB국민카드","K-패스체크카드","false","TARGET_NOT_MAPPED","적립"
"2588","KB국민카드","스타플러스 체크카드","false","TARGET_NOT_MAPPED","공연/전시"
"2550","KB국민카드","노리2 체크카드(Play)","false","TARGET_NOT_MAPPED","공연/전시"
"2001","MG새마을금고","꿀카드","false","MERCHANT_NOT_MAPPED","수수료우대"
"2094","MG새마을금고","카카오페이 체크카드","false","MERCHANT_NOT_MAPPED","편의점"
"2860","MG새마을금고","라이프핏 체크카드","false","MERCHANT_NOT_MAPPED","카페"
"666","NH농협카드","올바른 FLEX 카드","false","TARGET_NOT_MAPPED","기타"
"2846","NH농협카드","클래시 트래블카드","false","TARGET_NOT_MAPPED","적립"
"2593","NH농협카드","zgm.일본여행중 카드","false","MERCHANT_NOT_MAPPED","적립"
"2428","NH농협카드","zgm.streaming카드","false","DAILY_USAGE_LIMIT_UNSUPPORTED","카페"
"2706","NH농협카드","zgm 할인카드","false","INFORMATION_ONLY","공항라운지"
"2544","NH농협카드","zgm.play카드","false","TARGET_NOT_MAPPED","생활"
"2427","NH농협카드","zgm.the pay카드","false","TARGET_NOT_MAPPED","할인"
"2561","NH농협카드","K-패스카드(체크)","false","TARGET_NOT_MAPPED","통신"
"362","NH농협카드","NH20해봄체크카드","false","MERCHANT_NOT_MAPPED","기타"
"2758","NH농협카드","춘식이달달체크카드","false","INFORMATION_ONLY","공항라운지"
"2727","NH농협카드","NH트래블리체크카드","false","TARGET_NOT_MAPPED","캐시백"
"676","NH농협카드","올리 POINT 체크","false","TARGET_NOT_MAPPED","적립"
"368","NH농협카드","NH올원체크카드","false","DIRECT_OFFLINE_REVIEW_REQUIRED","적립"
"1765","NH농협카드","올바른 NEW HAVE체크카드","false","TARGET_NOT_MAPPED","적립"
"2620","NH농협카드","NH 무럭이 체크카드","false","TARGET_NOT_MAPPED","국내외가맹점"
"364","NH농협카드","국민행복체크카드(비씨)","false","INFORMATION_ONLY","국민행복"
"499","NH농협카드","체크카드","false","TARGET_NOT_MAPPED","생활"
"367","NH농협카드","내일배움체크카드","false","TARGET_NOT_MAPPED","여행/숙박"
"370","NH농협카드","BAZIC(베이직)체크카드","false","MERCHANT_NOT_MAPPED","모든가맹점"
"2626","네이버페이","네이버페이 머니카드","false","PAYMENT_CHANNEL_UNSUPPORTED","해외"
"2261","롯데카드","LOCA LIKIT 1.2","false","TARGET_NOT_MAPPED","국내외가맹점"
"2632","롯데카드","디지로카 London","false","TARGET_NOT_MAPPED","국내외가맹점"
"2707","롯데카드","디지로카 Las Vegas","false","MERCHANT_NOT_MAPPED","할인"
"2786","롯데카드","힐튼 아너스 아멕스 프리미엄","false","MERCHANT_NOT_MAPPED","적립"
"2262","롯데카드","LOCA LIKIT Eat","false","PAYMENT_CHANNEL_UNSUPPORTED","일반음식점"
"2263","롯데카드","LOCA LIKIT Play","false","MERCHANT_NOT_MAPPED","주유소"
"404","롯데카드","롯데 국민행복 체크카드","false","MERCHANT_NOT_MAPPED","교육/육아"
"403","롯데카드","롯데체크카드","false","TARGET_NOT_MAPPED","적립"
"49","삼성카드","삼성카드 & MILEAGE PLATINUM (스카이패스)","false","MERCHANT_NOT_MAPPED","대한항공"
